userName,score,content,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
Diki Fiki,5,saya suka dengan aplikasi ini .mudah dan praktis...,0,5.35.1,2025-10-12 21:52:12,,
Bro Dull,5,"hallo kak, bisakah adakan label halal untuk produk gofood, saya bingung soal pepperoni apakah halal di pizza? soalnyakan pepperoni umumnya daging babi, bisakah adakan label halal di foto makanan nya",0,5.33.1,2025-10-12 21:49:36,,
Epick konten,5,banyak Promo cepat transaksinya,0,5.32.1,2025-10-12 21:41:49,,
Amalia Laila,3,tolong dong buat gojek buat nyediain kembalian karna ga semua orang itu uang nya pas,0,,2025-10-12 21:38:07,"Hai Kak Amalia, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver tidak memiliki uang kembalian"" pada kolom pencarian ya. ^Maura",2025-10-12 22:05:26
Rahmawati Hidayat,2,"saya komplain makanan yg saya pesan berbeda, saya menghubungi CS tp Pelayanannya lama sekali sampai 1 jam blm ada kejelasan. Minta foto saya kirim.",0,,2025-10-12 21:19:27,"Hai Kak Rahmawati, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-285-1450-18074 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-10-12 21:50:24
Eti Damayanti,5,mantul👍,0,5.34.2,2025-10-12 21:15:44,,
Salbiyah Anisa S,3,"gembel lama banget buang"" waktu",0,4.48.1,2025-10-12 21:15:10,"Hai Kak Salbiyah, mohon maaf keterlambatan pengiriman pesanan mu. Agar dapat dibantu lebih lanjut, silakan laporkan melalui menu Bantuan (pada menu Profil Saya) di aplikasi Gojek dengan mengetik ""Saya menunggu pengiriman terlalu lama"" pada kolom pencarian. Semoga informasi ini membantu kamu. ^Maura",2025-10-12 21:49:12
Heru panca,1,"sangat sangat kecewa dengan orderan go car terakhir, pokoknya mohon cek lagi apa.salah aplikasi apa salah Drive, Coba pihak gojek bantu kasih keterangan",0,5.35.1,2025-10-12 21:10:54,"Hai Kak Heru, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2025-10-12 21:48:12
Proper Sihombing,1,aplikasi ngak guna,0,,2025-10-12 20:57:44,,
dwi nurahmat pandu firmansyah,1,"Gojek yg sekarang beda, turun kualitasnya di level ""jelek"". pesen Gofood skrg lama amat.. masak, pesen puding p*y0 dri solo square ke blkg UMS skrg 1 jam 🫣🫣🫣, dan apesnya lagi udah nunggu 1 jam.. udah dpt driver, tiba2 dicancle otomatis/sepihak,, padahal anak ku usia 3 tahun nangis2 udah nungguin lama.. bener2 gojek bikin gedeg.. 👎👎👎",0,5.31.2,2025-10-12 20:46:11,"Hai Kak Dwi, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Maura",2025-10-12 21:22:57
645 Minecon,5,👍,0,,2025-10-12 20:40:35,,
Ibnu Hasan Hasan,5,mantap,0,5.33.1,2025-10-12 20:39:05,,
YANDR3 BONDR3,5,G00d job🤠,0,,2025-10-12 20:30:50,,
Bakem Kw,5,gosend pengiriman cepat 😇 kurir nya ramah 😀,0,,2025-10-12 20:23:58,,
Khalisa Putri gunawan,5,baik dan cepat ramah,0,5.34.2,2025-10-12 20:16:43,,
Alin Sholihah,1,ga recoment lama pesanan goofood gabisa di batalkan ga recomen intinya,0,5.34.2,2025-10-12 20:00:03,"Hai Kak Alin, mohon maaf atas ketidaknyamanannya. Ke depannya, jika kamu mengalami hal serupa, klik 'Butuh Bantuan' pada halaman pemesanan, lalu pilih alasan pembatalan yang sesuai, ya. Pesananmu akan dicek terlebih dulu. Jika kamu memiliki pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek. ^Maura",2025-10-12 21:20:40
Yus Permadi,5,nice,0,5.31.2,2025-10-12 19:57:11,,
Tek Tek,5,"Trimakasih atas adanya aplikasi ini, perjalanan saya samgat terbanyu",0,5.14.2,2025-10-12 19:42:03,,
